Metric,Value
design_powergrid__drop__worst__net:VPWR,0.0000178445
design_powergrid__voltage__worst__net:VGND,0.0000330026
design_powergrid__drop__worst__net:VGND,0.0000330026
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000024099999999999997956517429342770952871433109976351261138916015625
ir__drop__worst,0.000017799999999999998982758153687200319836847484111785888671875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
